timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
27149,680.7,14.39,-1.00,1.47,-1.0000,-1.0000,435.00,12635,102,-1,0.0
27400,394.3,15.56,-1.00,2.54,-1.0000,-1.0000,435.11,12635,102,-1,0.0
27651,517.8,11.88,-1.00,1.93,-1.0000,-1.0000,435.92,12635,102,-1,0.0
28227,2.8,12.22,-1.00,360.35,-1.0000,-1.0000,471.36,12635,102,-1,0.0
28477,540.0,11.98,-1.00,1.85,-1.0000,-1.0000,471.48,12635,102,-1,0.0
28727,396.2,14.03,-1.00,2.52,-1.0000,-1.0000,471.60,12635,102,-1,0.0
28979,390.3,11.42,-1.00,2.56,-1.0000,-1.0000,471.73,12635,102,-1,0.0
29229,424.4,16.14,-1.00,2.36,-1.0000,-1.0000,471.84,12635,102,-1,0.0
29480,665.9,15.55,-1.00,1.50,-1.0000,-1.0000,472.01,12635,102,-1,0.0
29731,604.7,11.93,-1.00,1.65,-1.0000,-1.0000,472.13,12635,102,-1,0.0
29981,429.6,17.22,-1.00,2.33,-1.0000,-1.0000,472.25,12635,102,-1,0.0
30232,336.8,10.88,-1.00,2.97,-1.0000,-1.0000,472.32,12635,102,-1,0.0
30483,393.0,8.34,-1.00,2.54,-1.0000,-1.0000,472.42,12635,102,-1,0.0
30733,657.0,21.25,-1.00,1.52,-1.0000,-1.0000,472.59,12635,102,-1,0.0
30984,638.4,16.12,-1.00,1.57,-1.0000,-1.0000,472.75,12635,102,-1,0.0
31236,455.9,9.77,-1.00,2.19,-1.0000,-1.0000,472.89,12635,102,-1,0.0
31488,517.9,18.13,-1.00,1.93,-1.0000,-1.0000,473.02,12635,102,-1,0.0
31738,665.5,15.63,-1.00,1.50,-1.0000,-1.0000,473.20,12635,102,-1,0.0
31989,629.6,20.71,-1.00,1.59,-1.0000,-1.0000,473.33,12635,102,-1,0.0
32241,403.0,10.89,-1.00,2.48,-1.0000,-1.0000,473.47,12635,102,-1,0.0
32492,402.1,18.64,-1.00,2.49,-1.0000,-1.0000,473.70,12635,102,-1,0.0
32743,653.3,22.25,-1.00,1.53,-1.0000,-1.0000,473.83,12635,102,-1,0.0
32995,434.0,14.53,-1.00,2.30,-1.0000,-1.0000,473.95,12635,102,-1,0.0
33245,293.3,8.30,-1.00,3.41,-1.0000,-1.0000,474.04,12635,102,-1,0.0
33495,507.4,17.69,-1.00,1.97,-1.0000,-1.0000,474.20,12635,102,-1,0.0
33746,562.4,14.57,-1.00,1.78,-1.0000,-1.0000,474.33,12635,102,-1,0.0
33996,551.8,14.58,-1.00,1.81,-1.0000,-1.0000,474.50,12635,102,-1,0.0
34248,621.7,19.72,-1.00,1.61,-1.0000,-1.0000,474.64,12635,102,-1,0.0
34498,647.1,12.98,-1.00,1.55,-1.0000,-1.0000,474.78,12635,102,-1,0.0
34749,785.5,16.59,-1.00,1.27,-1.0000,-1.0000,474.91,12635,102,-1,0.0
34999,621.9,13.56,-1.00,1.61,-1.0000,-1.0000,475.04,12635,102,-1,0.0
35251,608.5,18.60,-1.00,1.64,-1.0000,-1.0000,475.20,12635,102,-1,0.0
35501,599.9,21.37,-1.00,1.67,-1.0000,-1.0000,475.34,12635,102,-1,0.0
35751,533.8,18.23,-1.00,1.87,-1.0000,-1.0000,475.53,12635,102,-1,0.0
36001,621.2,12.48,-1.00,1.61,-1.0000,-1.0000,475.59,12635,102,-1,0.0
36253,381.6,15.46,-1.00,2.62,-1.0000,-1.0000,475.72,12635,102,-1,0.0
36504,608.8,11.95,-1.00,1.64,-1.0000,-1.0000,475.96,12635,102,-1,0.0
36755,454.4,12.97,-1.00,2.20,-1.0000,-1.0000,476.12,12635,102,-1,0.0
37005,691.5,16.15,-1.00,1.45,-1.0000,-1.0000,476.29,12646,104,-1,0.0
37256,602.1,11.92,-1.00,1.66,-1.0000,-1.0000,476.41,12646,104,-1,0.0
37507,648.6,20.33,-1.00,1.54,-1.0000,-1.0000,476.55,12646,104,-1,0.0
37757,591.3,17.14,-1.00,1.69,-1.0000,-1.0000,476.68,12646,104,-1,0.0
38008,644.1,18.70,-1.00,1.55,-1.0000,-1.0000,476.84,12646,104,-1,0.0
38259,538.2,21.22,-1.00,1.86,-1.0000,-1.0000,476.97,12646,104,-1,0.0
38511,593.9,16.01,-1.00,1.68,-1.0000,-1.0000,477.11,12646,104,-1,0.0
38762,676.0,15.56,-1.00,1.48,-1.0000,-1.0000,477.24,12646,104,-1,0.0
